RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke,latitude,longitude
K503556,01.07.2019,Sau,Spel,,10.06.2019,24.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7038323,640756,7039152,341564,7043590,1301378,WGS84-UTM Sone 32,Mindre god,Meråker (N),1-50,Trøndelag (N),63.44544476799831,11.822628845804145
K504046,21.07.2019,Sau,Spel,,16.07.2019,18.07.2019,Ja,Hunn,Åring,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7035066,341303,7035066,341303,7039505,1301066,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.40871424271233,11.821466589021854
K504048,21.07.2019,Sau,Spel,,16.07.2019,18.07.2019,Ja,Hunn,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7035063,341260,7035063,341260,7039503,1301023,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.408668222722994,11.820609913813474
K504050,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033778,638856,7034804,339247,7039269,1299005,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.40544576098449,11.780627998329015
K504051,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033778,638846,7034805,339237,7039270,1298995,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.405450214558755,11.780427103877471
K504052,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033783,638861,7034809,339252,7039274,1299011,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.40549281740432,11.78072291613012
K504053,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033782,638859,7034808,339250,7039273,1299008,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.40548295544575,11.780683943612841
K504054,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033777,638856,7034803,339247,7039268,1299005,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.40543680038295,11.780629003704382
K504056,06.07.2019,Sau,Spel,,09.06.2019,25.06.2019,Ja,Ukjent,Åring,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7033786,638871,7034811,339262,7039276,1299021,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.40551524522763,11.7809207949867
K470921,06.08.2016,Sau,Norsk kvit sau,,05.08.2016,06.08.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7021761,643043,7022448,342292,7026868,1301897,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.29607991637635,11.853633311329231
K469816,07.07.2016,Sau,Norsk kvit sau,,04.07.2016,07.07.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7014590,645660,7015063,344228,7019455,1303740,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.23074395473125,11.899304656528466
K470065,14.07.2016,Sau,Norsk kvit sau,,13.07.2016,14.07.2016,Ja,Hunn,Under 1 år,1,Skadd og ikke avlivet,Bjørn,Antatt sikker,Utmark,1-5034,7048272,644106,7048744,345830,7053133,1305768,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.53327675651004,11.89871962366923
K470069,14.07.2016,Sau,Norsk kvit sau,,13.07.2016,14.07.2016,Ja,Hann,Under 1 år,1,Skadd og ikke avlivet,Bjørn,Antatt sikker,Utmark,1-5034,7048341,346620,7048341,346620,7052720,1306553,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.53000772847358,11.914973956254704
K470071,14.07.2016,Sau,Norsk kvit sau,,13.07.2016,14.07.2016,Ja,Hunn,Voksen,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7048272,644106,7048744,345830,7053133,1305768,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.53327675651004,11.89871962366923
K503786,09.07.2019,Sau,Norsk kvit sau,,10.06.2019,24.06.2019,Ja,Hunn,Voksen,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7043310,644936,7043726,346192,7048108,1306066,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.48846475418225,11.910856100560778
K503930,14.07.2019,Sau,Norsk kvit sau,,23.06.2019,25.06.2019,Ja,Hunn,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7044784,644791,7045207,346186,7049590,1306079,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.501734293005285,11.909301028944245
K504090,22.07.2019,Sau,Norsk kvit sau,,20.07.2019,20.07.2019,Nei,Hann,Under 1 år,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7048379,643947,7048866,345682,7053256,1305621,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.53430569261615,11.895628762299582
K503352,24.06.2019,Sau,Norsk kvit sau,,10.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7048872,643266,7049420,345050,7053819,1304996,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.53899472843648,11.88239510678506
K503346,25.06.2019,Sau,Norsk kvit sau,,10.06.2019,19.06.2019,Ja,Hann,Under 1 år,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7048718,643274,7049266,345044,7053665,1304987,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.53761206415861,11.88242541327435
K503241,22.06.2019,Sau,Norsk kvit sau,,10.06.2019,18.06.2019,Ja,Hunn,Voksen,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7046739,646785,7046967,348354,7051323,1308270,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.51843955961915,11.951106693510336
K503242,22.06.2019,Sau,Norsk kvit sau,,10.06.2019,19.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7043106,645159,7043502,346395,7047881,1306267,WGS84-UTM Sone 32,Mindre god,Meråker (N),1-50,Trøndelag (N),63.48654514059521,11.915142723813096
K502917,10.06.2019,Sau,Norsk kvit sau,,09.06.2019,09.06.2019,Nei,Hunn,Voksen,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7046083,643777,7046595,345298,7050990,1305208,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.5137870963635,11.890135452270822
K502918,10.06.2019,Sau,Norsk kvit sau,,09.06.2019,09.06.2019,Nei,Hunn,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7045965,644446,7046415,345953,7050802,1305861,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.51245885445989,11.903454212128384
K503002,13.06.2019,Sau,Norsk kvit sau,,09.06.2019,10.06.2019,Nei,Hann,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7045584,645559,7045932,347025,7050304,1306928,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.5085938846801,11.925431372057858
K503003,13.06.2019,Sau,Norsk kvit sau,,09.06.2019,10.06.2019,Nei,Hunn,Voksen,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7045663,645582,7046008,347056,7050380,1306959,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.50928832951328,11.925980057780917
K497949,07.07.2018,Sau,Norsk kvit sau,,07.07.2018,07.07.2018,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7034177,346571,7034177,346571,7038549,1306325,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.40305257824565,11.927647069720555
K498342,24.07.2018,Sau,Norsk kvit sau,,19.07.2018,20.07.2018,Nei,Hunn,Voksen,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7036512,344478,7036512,344478,7040912,1304260,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.42307130716944,11.883536890049774
K479829,30.08.2017,Sau,,,30.08.2017,30.08.2017,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7042249,644914,7042672,346071,7047055,1305932,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.47896683058873,11.90945108075394
K505368,06.09.2019,Sau,Norsk kvit sau,,02.09.2019,03.09.2019,Nei,Hunn,Voksen,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7047428,646066,7047720,347703,7052085,1307628,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.52490905627703,11.937316703346177
K505669,17.09.2019,Sau,Norsk kvit sau,,02.09.2019,03.09.2019,Nei,Hunn,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7046505,645457,7046858,347010,7051232,1306924,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.51688596126179,11.924236883403173
K505670,17.09.2019,Sau,Norsk kvit sau,,15.07.2019,15.08.2019,Ja,Hunn,Under 1 år,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7042702,641412,7043451,342627,7047877,1302496,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.4844397805262,11.83965680724472
K505671,17.09.2019,Sau,Norsk kvit sau,,02.09.2019,03.09.2019,Ja,Hann,Under 1 år,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7048185,645957,7048484,347665,7052850,1307600,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.5317395457443,11.935818879338267
K510855,03.07.2020,Sau,Norsk kvit sau,,27.06.2020,28.06.2020,Ja,Hunn,Åring,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7049190,343729,7049190,343729,7053606,1303671,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.53635400641583,11.856091474475903
K511432,23.07.2020,Sau,Norsk kvit sau,,19.07.2020,22.07.2020,Ja,Ukjent,Under 1 år,1,Dødt,Kongeørn,Dokumentert,Utmark,1-5034,7045412,348802,7045412,348802,7049762,1308699,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.50469476638843,11.961581424413334
K504809,15.08.2019,Sau,Norsk kvit sau,,12.08.2019,13.08.2019,Ja,Ukjent,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7057579,343362,7057579,343362,7062004,1303410,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.61136548455194,11.840393696084
K504222,27.07.2019,Sau,Norsk kvit sau,,18.07.2019,23.07.2019,Ja,Ukjent,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7056844,641488,7057524,344027,7061940,1304074,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.61116667588829,11.853837851601051
K504812,15.08.2019,Sau,Spel,,12.08.2019,13.08.2019,Ja,Ukjent,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7056647,642771,7057208,345286,7061608,1305329,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.60888820656545,11.879498681899449
K480460,21.09.2017,Sau,Spel,,20.08.2017,10.09.2017,Ja,Ukjent,Under 1 år,1,Dødt,Jerv,Dokumentert,Utmark,1-5034,7055385,637256,7056468,339676,7060938,1299708,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.59975821572074,11.767314174586737
K499594,06.09.2018,Sau,Spel,,01.09.2018,05.09.2018,Ja,Hunn,Under 1 år,1,Dødt,Jerv,Dokumentert,Utmark,1-5034,7055323,638157,7056322,340567,7060781,1300598,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.598852772975434,11.785393567475065
K499714,06.09.2018,Sau,Spel,,01.09.2018,05.09.2018,Ja,Hunn,Under 1 år,1,Dødt,Jerv,Dokumentert,Utmark,1-5034,7056402,339273,7056402,339273,7060878,1299304,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.59898393439242,11.759271259752335
K499742,07.09.2018,Sau,Spel,,02.09.2018,07.09.2018,Ja,Hann,Under 1 år,1,Skadd og avlivet,Jerv,Antatt sikker,Utmark,1-5034,7055448,636916,7056562,339344,7061037,1299376,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.60044982045079,11.760536841750351
K478521,25.07.2017,Sau,Spel,,23.07.2017,24.07.2017,Ja,Ukjent,Under 1 år,1,Dødt,Kongeørn,Dokumentert,Utmark,1-5034,7057864,640069,7058673,342709,7063106,1302770,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.620878580467256,11.826151817386199
K504110,23.07.2019,Sau,Spel,,18.07.2019,20.07.2019,Ja,Hunn,Under 1 år,1,Dødt,Ulv,Usikker,Utmark,1-5034,7058982,342757,7058982,342757,7063415,1302822,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.62366881055783,11.826809478035837
K470434,27.07.2016,Sau,Norsk kvit sau,,23.07.2016,24.07.2016,Ja,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7026760,632641,7028397,332402,7032945,1292076,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.34489220916238,11.650519592104574
K470651,29.07.2016,Sau,Norsk kvit sau,,20.07.2016,24.07.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7027469,633004,7029069,332830,7033612,1292513,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.35111336955253,11.658356381738958
K470653,29.07.2016,Sau,Norsk kvit sau,,20.07.2016,24.07.2016,Ja,Ukjent,Under 1 år,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7027365,633053,7028961,332869,7033504,1292550,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.350163967712845,11.659246786306504
K471018,04.08.2016,Sau,Norsk kvit sau,,22.07.2016,30.07.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7027811,633306,7029382,333162,7033921,1292849,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.35407281304053,11.664654159336807
K471019,10.08.2016,Sau,Spel,,15.07.2016,25.07.2016,Ja,Hann,Under 1 år,1,Skadd og avlivet,Bjørn,Antatt sikker,Utmark,1-5034,7027778,634198,7029265,334048,7033793,1293734,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.35343691986993,11.682451896463212
K471492,23.08.2016,Sau,Spel,,23.08.2016,23.08.2016,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7026238,635957,7027568,335655,7032074,1295320,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.33897402330313,11.716250025435448
K471493,17.08.2016,Sau,Spel,,02.08.2016,05.08.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7028428,638871,7029476,338761,7033944,1298452,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.35748447920783,11.77627617848026
K471494,17.08.2016,Sau,Spel,,09.08.2016,10.08.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028239,639038,7029272,338910,7033738,1298598,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.35572369077962,11.77945429907707
K470432,26.07.2016,Sau,Spel,,23.07.2016,24.07.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028306,637370,7029495,337255,7033982,1296946,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.35697219167973,11.746204722879925
K470689,01.08.2016,Sau,Spel,,29.07.2016,30.07.2016,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7026038,634782,7027478,334466,7032000,1294130,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.33761940330365,11.692632780289353
K470729,02.08.2016,Sau,Spel,,15.07.2016,24.07.2016,Ja,Hunn,Under 1 år,1,Skadd og avlivet,Ukjent fredet rovvilt,Antatt sikker,Utmark,1-5034,7026792,633530,7028346,333290,7032883,1292964,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.34485031833006,11.66828330993245
K470923,07.08.2016,Sau,Norsk kvit sau,,02.08.2016,04.08.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7024730,640763,7025617,340300,7030064,1299943,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.32359520495546,11.810823446017606
K470925,05.08.2016,Sau,Norsk kvit sau,,02.08.2016,04.08.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7015587,640040,7016581,338725,7021043,1298254,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.24191939758544,11.788457090246233
K470928,07.08.2016,Sau,Spel,,01.08.2016,04.08.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7023258,638012,7024408,337423,7028891,1297049,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.3114668880593,11.754700713807544
K470929,07.08.2016,Sau,Spel,,01.08.2016,04.08.2016,Ja,Hann,Under 1 år,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7023258,638085,7024401,337495,7028883,1297122,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.311436841481395,11.756142250758451
K470930,07.08.2016,Sau,Spel,,01.08.2016,04.08.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7023361,638197,7024494,337617,7028974,1297244,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.31232550648495,11.75847913275136
K470128,15.07.2016,Sau,Spel,,14.07.2016,14.07.2016,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028009,635052,7029416,334920,7033932,1294608,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.355193602900144,11.699694021396514
K470210,18.07.2016,Sau,,,16.07.2016,17.07.2016,Ja,Hann,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7026301,634923,7027727,334631,7032246,1294298,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.33992673722114,11.695666719664738
K470213,18.07.2016,Sau,Spel,,17.07.2016,18.07.2016,Ja,Hunn,Voksen,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7026200,637203,7027413,336892,7031904,1296556,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.338151353242324,11.741075492868065
K470214,18.07.2016,Sau,Spel,,17.07.2016,18.07.2016,Ja,Ukjent,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7026200,637203,7027413,336892,7031904,1296556,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.338151353242324,11.741075492868065
K470215,18.07.2016,Sau,Spel,,17.07.2016,18.07.2016,Nei,Ukjent,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7026200,637203,7027413,336892,7031904,1296556,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.338151353242324,11.741075492868065
K470270,19.07.2016,Sau,Spel,,16.07.2016,18.07.2016,Ja,Hunn,Voksen,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7026079,636890,7027322,336569,7031817,1296232,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.33718854884264,11.73472697186752
K469989,10.07.2016,Sau,Spel,,07.07.2016,09.07.2016,Nei,Hunn,Under 1 år,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7018189,630486,7020064,329455,7024645,1289023,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.26884321179905,11.600566170709891
K469789,07.07.2016,Sau,Spel,,06.07.2016,06.07.2016,Nei,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7022207,631878,7023935,331217,7028496,1290834,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.30435833951495,11.631566327374696
K469790,07.07.2016,Sau,Spel,,06.07.2016,06.07.2016,Nei,Hann,Under 1 år,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7022643,631616,7024394,330997,7028957,1290620,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.308366963530105,11.626703466072858
K478539,27.07.2017,Sau,,,26.07.2017,26.07.2017,Nei,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028936,636425,7030210,336373,7034709,1296072,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.362976060989375,11.72787600240705
K478540,26.07.2017,Sau,Spel,,26.07.2017,26.07.2017,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7024790,639690,7025777,339237,7030237,1298881,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.32455309870255,11.789475517448189
K478515,18.07.2017,Sau,Spel,,15.07.2017,16.07.2017,Ja,Ukjent,Under 1 år,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7028710,637676,7029868,337598,7034352,1297293,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.36047043472263,11.752671708923792
K478516,18.07.2017,Sau,Spel,,15.07.2017,16.07.2017,Ja,Ukjent,Under 1 år,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7028741,637728,7029894,337653,7034377,1297348,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.360728394666324,11.753743044768962
K478518,24.07.2017,Sau,Spel,,15.07.2017,19.07.2017,Ja,Ukjent,Under 1 år,1,Dødt,Ukjent fredet rovvilt,Antatt sikker,Utmark,1-5034,7027742,635681,7029091,335521,7033600,1295205,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.35255862748301,11.712018515760827
